Geneid,Chr,Start,End,Strand,Length,barcode01_counts,barcode02_counts,barcode03_counts,barcode04_counts,barcode05_counts,barcode06_counts,barcode07_counts,barcode08_counts,barcode09_counts,barcode10_counts,barcode11_counts
TK0008,TS559_Genomic_Sequence.seq,7655,8755,-,1101,0,1,0,4,1,0,1,0,0,0,0
TK0009,TS559_Genomic_Sequence.seq,8843,10093,+,1251,0,0,1,2,2,0,1,0,2,0,0
TK0010,TS559_Genomic_Sequence.seq,10095,10379,+,285,1,0,0,2,1,0,0,0,3,0,0
TK0011,TS559_Genomic_Sequence.seq,10385,10807,+,423,0,0,1,2,1,0,1,0,0,0,1
TK0012,TS559_Genomic_Sequence.seq,10808,11365,-,558,0,0,1,1,2,0,0,0,0,0,0
TK0013,TS559_Genomic_Sequence.seq,11415,11726,+,312,0,0,3,3,2,1,1,1,2,0,0
TK0014,TS559_Genomic_Sequence.seq,11729,12286,+,558,0,0,2,5,0,0,3,0,4,0,0
TK0015,TS559_Genomic_Sequence.seq,12347,13411,+,1065,0,0,4,10,17,2,2,1,8,0,0
TK0016,TS559_Genomic_Sequence.seq,13392,13808,-,417,0,0,1,1,0,0,0,0,1,0,0
TK0017,TS559_Genomic_Sequence.seq,13808,14023,-,216,0,0,0,1,0,0,0,0,0,0,0
TK0018,TS559_Genomic_Sequence.seq,14153,14896,+,744,1,1,2,1,3,0,1,0,3,0,0
TK0019,TS559_Genomic_Sequence.seq,14945,15964,+,1020,0,0,3,1,3,0,0,0,3,0,0
TK0020,TS559_Genomic_Sequence.seq,15968,16699,+,732,1,1,1,6,3,0,0,1,3,0,0
TK0021,TS559_Genomic_Sequence.seq,16705,17697,+,993,2,0,4,6,9,2,1,0,10,0,1
TK0022,TS559_Genomic_Sequence.seq,17780,18784,-,1005,3,0,4,10,9,6,0,1,8,0,1
TK0023,TS559_Genomic_Sequence.seq,18786,19280,-,495,1,0,3,13,11,4,0,1,2,0,0
TK0024,TS559_Genomic_Sequence.seq,19290,20183,-,894,1,0,7,6,21,2,0,0,2,0,0
TK0025,TS559_Genomic_Sequence.seq,20183,21172,-,990,0,1,5,9,12,4,2,0,7,0,0
TK0026,TS559_Genomic_Sequence.seq,21266,21919,-,654,1,0,1,1,3,0,0,1,2,0,0
TK0027,TS559_Genomic_Sequence.seq,21913,22569,-,657,1,0,0,3,7,0,1,2,2,0,0
TK0028,TS559_Genomic_Sequence.seq,22597,23862,-,1266,1,0,1,2,14,2,2,1,13,1,0
TK0029,TS559_Genomic_Sequence.seq,23956,24834,+,879,0,0,2,1,4,0,0,0,1,0,0
TK0030,TS559_Genomic_Sequence.seq,24882,25451,+,570,3,1,7,9,6,0,1,2,0,0,0
TK0031,TS559_Genomic_Sequence.seq,25413,25811,-,399,0,2,0,6,4,0,2,2,0,0,0
TK0032,TS559_Genomic_Sequence.seq,25813,27315,-,1503,0,0,0,3,4,1,0,0,0,0,0
TK0033,TS559_Genomic_Sequence.seq,27565,28620,+,1056,3,2,7,16,29,4,2,1,12,1,1
TK0034,TS559_Genomic_Sequence.seq,28591,29334,-,744,2,0,10,6,11,3,3,0,12,0,0
TK0035,TS559_Genomic_Sequence.seq,29404,30681,+,1278,2,0,3,15,3,0,0,1,10,0,0
TK0036,TS559_Genomic_Sequence.seq,30937,31266,+,330,6,7,18,33,50,3,5,2,24,0,0
TK0037,TS559_Genomic_Sequence.seq,31276,32235,+,960,1,1,10,6,20,3,5,3,19,0,0
TK0038,TS559_Genomic_Sequence.seq,32367,33251,+,885,0,0,1,4,3,1,0,0,0,0,0
TK0039,TS559_Genomic_Sequence.seq,33291,35033,+,1743,1,2,2,9,9,0,2,0,1,0,0
TK0040,TS559_Genomic_Sequence.seq,35048,35824,+,777,1,2,5,18,15,0,2,1,12,1,0
TK0041,TS559_Genomic_Sequence.seq,35882,36541,+,660,0,2,0,7,1,1,3,0,3,0,0
TK0042,TS559_Genomic_Sequence.seq,36553,37380,+,828,0,0,1,6,2,2,0,1,1,1,0
TK0043,TS559_Genomic_Sequence.seq,37394,37870,+,477,0,0,1,2,2,2,0,0,0,0,0
TK0044,TS559_Genomic_Sequence.seq,37874,39298,+,1425,1,0,1,14,5,5,1,1,11,1,1
TK0045,TS559_Genomic_Sequence.seq,39323,39847,+,525,0,0,0,3,0,0,0,0,0,0,0
TK0046,TS559_Genomic_Sequence.seq,39847,40332,+,486,0,0,0,0,1,0,0,0,0,0,0
TK0047,TS559_Genomic_Sequence.seq,40372,41070,+,699,1,0,0,1,1,0,1,0,1,0,0
TK0048,TS559_Genomic_Sequence.seq,41072,42694,+,1623,0,0,0,3,3,0,2,0,1,0,0
TK0049,TS559_Genomic_Sequence.seq,42705,44444,+,1740,0,0,0,1,5,0,0,1,1,0,0
TK0050,TS559_Genomic_Sequence.seq,44441,46435,+,1995,0,0,0,1,1,0,0,0,0,0,0
TK0051,TS559_Genomic_Sequence.seq,46479,46991,+,513,0,0,0,0,0,0,0,0,0,0,0
TK0052,TS559_Genomic_Sequence.seq,47171,47800,+,630,15,7,39,15,14,6,5,3,23,1,1
TK0053,TS559_Genomic_Sequence.seq,47938,49140,-,1203,10,1,9,10,14,1,0,3,3,0,0
TK0054,TS559_Genomic_Sequence.seq,49154,49321,-,168,1,0,1,0,0,0,0,0,0,0,0
TK0055,TS559_Genomic_Sequence.seq,49394,49732,+,339,0,0,1,0,0,0,0,0,0,0,0
TK0056,TS559_Genomic_Sequence.seq,49729,50298,+,570,0,1,2,2,4,0,0,0,2,0,0
TK0057,TS559_Genomic_Sequence.seq,50279,50557,-,279,0,0,0,2,2,0,0,0,0,0,0
TK0058,TS559_Genomic_Sequence.seq,50709,51413,+,705,1,0,0,1,1,0,0,0,0,0,0
TK0059,TS559_Genomic_Sequence.seq,51484,52053,-,570,0,0,2,4,6,2,0,0,10,0,0
TK0060,TS559_Genomic_Sequence.seq,52064,52606,-,543,0,0,1,1,3,1,0,0,2,0,0
TK0061,TS559_Genomic_Sequence.seq,52603,54201,-,1599,0,0,1,0,1,0,0,0,5,0,1
TK0062,TS559_Genomic_Sequence.seq,54251,55021,+,771,0,0,0,2,1,0,0,0,1,0,0
TK0063,TS559_Genomic_Sequence.seq,55059,55607,+,549,0,0,2,4,2,2,1,0,4,0,0
TK0064,TS559_Genomic_Sequence.seq,55639,56019,+,381,0,0,0,0,0,1,0,0,0,0,0
TK0065,TS559_Genomic_Sequence.seq,56064,56264,+,201,0,0,0,0,2,0,0,0,1,0,0
TK0066,TS559_Genomic_Sequence.seq,56245,56709,+,465,0,0,0,0,0,0,0,0,1,0,0
TK0067,TS559_Genomic_Sequence.seq,56702,57268,+,567,0,0,0,4,2,0,1,0,1,0,0
TK0068,TS559_Genomic_Sequence.seq,57265,57603,-,339,0,0,0,2,2,0,0,0,1,0,0
TK0069,TS559_Genomic_Sequence.seq,57600,58247,-,648,0,1,3,5,5,2,2,1,2,0,0
TK0070,TS559_Genomic_Sequence.seq,58403,58738,-,336,0,0,3,22,15,0,0,0,14,1,0
TK0071,TS559_Genomic_Sequence.seq,58868,59704,+,837,0,0,1,0,0,0,0,0,0,0,0
TK0072,TS559_Genomic_Sequence.seq,59899,61800,-,1902,0,1,1,7,2,1,2,1,2,0,0
TK0073,TS559_Genomic_Sequence.seq,62831,63724,+,894,0,0,0,0,0,0,0,0,0,0,0
TK0074,TS559_Genomic_Sequence.seq,64227,65993,+,1767,1,0,0,0,0,0,0,0,0,0,0
TK0075,TS559_Genomic_Sequence.seq,66046,67383,+,1338,0,0,0,0,0,0,0,0,0,0,0
TK0076,TS559_Genomic_Sequence.seq,67400,68974,+,1575,0,0,0,0,0,0,0,0,0,0,0
TK0077,TS559_Genomic_Sequence.seq,68971,69114,+,144,0,0,0,0,0,0,0,0,0,0,0
TK0078,TS559_Genomic_Sequence.seq,69118,69375,+,258,0,0,0,0,0,0,0,0,0,0,0
TK0079,TS559_Genomic_Sequence.seq,69404,69796,+,393,0,0,0,0,0,0,0,0,0,0,0
TK0080,TS559_Genomic_Sequence.seq,69796,70512,+,717,0,0,0,0,0,0,0,0,0,0,0
TK0081,TS559_Genomic_Sequence.seq,70514,71113,+,600,0,0,0,1,0,0,0,0,0,0,0
TK0082,TS559_Genomic_Sequence.seq,71118,71246,+,129,0,0,0,0,0,0,0,0,0,0,0
TK0083,TS559_Genomic_Sequence.seq,71243,71563,+,321,0,0,0,1,0,0,0,0,0,0,0
TK0084,TS559_Genomic_Sequence.seq,71565,71705,+,141,0,0,0,0,0,0,0,0,0,0,0
TK0085,TS559_Genomic_Sequence.seq,71689,72594,+,906,0,0,0,0,0,0,0,0,0,0,0
TK0086,TS559_Genomic_Sequence.seq,72765,73340,+,576,0,0,0,1,0,0,0,0,0,0,0
TK0087,TS559_Genomic_Sequence.seq,73337,74644,+,1308,0,0,0,0,1,0,0,0,0,0,0
TK0088,TS559_Genomic_Sequence.seq,74625,75761,+,1137,0,0,0,1,0,0,0,0,0,0,0
TK0089,TS559_Genomic_Sequence.seq,75754,76026,+,273,0,0,0,0,0,0,0,0,0,0,0
TK0090,TS559_Genomic_Sequence.seq,76023,77459,+,1437,0,0,1,0,0,1,0,0,0,0,0
TK0091,TS559_Genomic_Sequence.seq,77703,79046,+,1344,0,0,0,0,0,0,0,0,0,0,0
TK0092,TS559_Genomic_Sequence.seq,79043,79249,+,207,0,0,0,0,0,0,0,0,0,0,0
TK0093,TS559_Genomic_Sequence.seq,79243,79497,+,255,0,0,0,0,0,0,0,0,0,0,0
TK0094,TS559_Genomic_Sequence.seq,79753,80130,+,378,0,0,0,0,1,0,0,0,0,0,0
TK0095,TS559_Genomic_Sequence.seq,80256,80429,+,174,0,0,0,0,0,0,0,0,0,0,0
TK0096,TS559_Genomic_Sequence.seq,80433,83177,+,2745,0,0,0,0,0,0,0,0,0,0,0
TK0097,TS559_Genomic_Sequence.seq,83184,83435,+,252,0,0,0,0,0,0,0,0,0,0,0
TK0098,TS559_Genomic_Sequence.seq,83432,83629,+,198,0,0,0,0,0,1,0,0,0,0,0
TK0099,TS559_Genomic_Sequence.seq,83733,83912,+,180,0,0,0,0,0,1,0,0,1,0,0
TK0100,TS559_Genomic_Sequence.seq,83909,84268,+,360,0,0,0,0,0,0,0,0,1,0,0
TK0101,TS559_Genomic_Sequence.seq,84265,84441,+,177,0,0,0,0,0,0,0,0,0,0,0
TK0102,TS559_Genomic_Sequence.seq,84441,85019,+,579,0,0,0,0,0,0,0,0,0,0,0
TK0103,TS559_Genomic_Sequence.seq,85027,85341,+,315,0,0,0,0,0,1,0,0,0,0,0
TK0104,TS559_Genomic_Sequence.seq,85431,85949,+,519,0,0,0,0,0,0,0,0,0,0,0
TK0105,TS559_Genomic_Sequence.seq,86009,86422,+,414,0,0,0,1,1,0,0,1,0,0,0
TK0106,TS559_Genomic_Sequence.seq,86334,87128,-,795,1,0,0,2,3,1,0,1,0,0,0
TK0107,TS559_Genomic_Sequence.seq,87221,87664,+,444,0,0,1,1,3,0,0,0,0,1,0
TK0108,TS559_Genomic_Sequence.seq,87664,88266,+,603,1,0,12,17,15,1,2,1,9,1,1
TK0109,TS559_Genomic_Sequence.seq,88267,89280,+,1014,1,1,6,52,18,0,6,5,7,1,0
TK0110,TS559_Genomic_Sequence.seq,89320,90060,+,741,2,1,5,42,11,0,6,3,5,0,1
TK0111,TS559_Genomic_Sequence.seq,90080,90268,+,189,1,3,2,12,10,2,2,0,1,0,0
TK0112,TS559_Genomic_Sequence.seq,90286,90561,+,276,0,2,6,14,12,2,4,4,5,0,0
TK0113,TS559_Genomic_Sequence.seq,90584,91057,-,474,0,0,1,3,3,1,2,0,1,0,0
TK0114,TS559_Genomic_Sequence.seq,91188,91367,+,180,0,0,0,0,0,0,0,0,0,0,0
TK0115,TS559_Genomic_Sequence.seq,91364,92980,+,1617,0,0,2,0,0,0,0,0,1,0,0
TK0116,TS559_Genomic_Sequence.seq,93073,94551,+,1479,1,0,10,13,22,9,1,0,29,0,3
TK0117,TS559_Genomic_Sequence.seq,94553,95713,+,1161,2,0,8,2,12,7,0,3,16,1,1
TK0118,TS559_Genomic_Sequence.seq,95823,96017,-,195,0,0,1,1,4,0,0,0,1,0,0
TK0119,TS559_Genomic_Sequence.seq,96186,97637,+,1452,1,0,4,2,7,3,0,0,5,0,1
TK0120,TS559_Genomic_Sequence.seq,97630,98148,+,519,1,0,2,1,5,0,0,0,1,0,0
TK0121,TS559_Genomic_Sequence.seq,98141,98437,+,297,0,0,0,0,2,1,0,0,1,0,0
TK0122,TS559_Genomic_Sequence.seq,98427,99584,+,1158,1,0,4,3,9,4,0,1,2,0,0
TK0123,TS559_Genomic_Sequence.seq,99649,100893,+,1245,0,1,2,1,4,1,0,0,3,0,0
TK0124,TS559_Genomic_Sequence.seq,100916,101206,-,291,0,0,1,1,0,0,0,0,2,0,0
TK0125,TS559_Genomic_Sequence.seq,101225,101734,-,510,0,0,0,2,4,0,0,1,1,0,0
TK0126,TS559_Genomic_Sequence.seq,101806,102348,+,543,1,0,0,3,10,2,0,1,2,0,0
TK0127,TS559_Genomic_Sequence.seq,102394,102564,+,171,0,0,1,1,1,0,0,1,0,0,0
TK0128,TS559_Genomic_Sequence.seq,102561,102992,+,432,0,0,1,1,2,0,0,0,0,0,0
TK0129,TS559_Genomic_Sequence.seq,102987,103403,-,417,0,0,1,2,1,1,2,1,4,0,0
TK0130,TS559_Genomic_Sequence.seq,103477,104319,+,843,1,0,3,16,16,1,1,2,2,1,0
TK0131,TS559_Genomic_Sequence.seq,104399,106102,+,1704,2,1,4,32,17,3,3,1,7,0,0
TK0132,TS559_Genomic_Sequence.seq,106208,106780,+,573,0,1,0,4,2,0,0,1,1,0,0
TK0133,TS559_Genomic_Sequence.seq,106856,107455,+,600,2,0,4,3,8,0,2,0,2,0,0
TK0134,TS559_Genomic_Sequence.seq,107452,108456,+,1005,2,1,3,6,10,2,1,1,5,0,0
TK0135,TS559_Genomic_Sequence.seq,108483,109091,-,609,5,1,15,35,40,4,6,4,49,0,0
TK0136,TS559_Genomic_Sequence.seq,109093,111036,-,1944,6,2,27,79,86,13,11,9,58,6,6
TK0137,TS559_Genomic_Sequence.seq,111037,111498,-,462,7,1,9,40,42,4,5,0,44,2,4
TK0138,TS559_Genomic_Sequence.seq,111485,111643,-,159,3,0,2,15,23,3,3,1,24,1,4
TK0139,TS559_Genomic_Sequence.seq,111646,113022,-,1377,6,2,16,56,71,10,16,9,34,2,6
TK0140,TS559_Genomic_Sequence.seq,113208,114566,+,1359,0,0,0,0,2,0,1,0,0,0,0
TK0141,TS559_Genomic_Sequence.seq,114680,115354,+,675,0,1,1,0,3,0,1,0,0,0,0
TK0142,TS559_Genomic_Sequence.seq,115400,116404,+,1005,1,0,2,3,10,5,3,0,2,1,0
TK0143,TS559_Genomic_Sequence.seq,116485,116628,-,144,5,4,10,12,9,1,3,0,48,0,0
TK0144,TS559_Genomic_Sequence.seq,116679,117488,-,810,2,0,1,11,8,0,1,0,5,0,1
TK0145,TS559_Genomic_Sequence.seq,117478,118149,-,672,0,0,1,3,0,0,0,0,0,0,0
TK0146,TS559_Genomic_Sequence.seq,118181,119062,-,882,0,0,1,2,1,0,0,0,0,0,0
TK0147,TS559_Genomic_Sequence.seq,119064,119930,-,867,0,0,1,7,4,0,0,0,5,0,0
TK0148,TS559_Genomic_Sequence.seq,120018,120488,+,471,1,0,2,5,8,0,1,0,5,0,0
TK0150,TS559_Genomic_Sequence.seq,120988,121392,+,405,2,1,9,14,25,4,1,0,15,0,0
TK0151,TS559_Genomic_Sequence.seq,121543,121974,+,432,0,1,0,2,4,1,1,1,1,0,0
TK0152,TS559_Genomic_Sequence.seq,121976,122203,+,228,0,0,0,0,0,0,0,0,2,0,0
TK0153,TS559_Genomic_Sequence.seq,122204,123130,+,927,0,0,4,12,10,3,4,1,2,0,0
TK0154,TS559_Genomic_Sequence.seq,123114,123404,-,291,0,0,1,6,5,0,1,1,1,0,0
TK0155,TS559_Genomic_Sequence.seq,123468,125693,-,2226,0,1,7,17,14,3,2,2,4,0,0
TK0156,TS559_Genomic_Sequence.seq,125869,128097,+,2229,1,0,2,5,5,1,1,0,4,1,0
TK0157,TS559_Genomic_Sequence.seq,128167,129540,-,1374,2,0,0,0,1,0,1,0,2,0,0
TK0158,TS559_Genomic_Sequence.seq,129686,130690,-,1005,0,0,1,1,1,1,0,0,1,0,0
TK0159,TS559_Genomic_Sequence.seq,130684,132378,-,1695,0,1,0,0,0,0,0,0,1,0,0
TK0160,TS559_Genomic_Sequence.seq,132392,133426,+,1035,0,0,1,2,0,0,0,0,2,0,0
TK0161,TS559_Genomic_Sequence.seq,133421,134083,-,663,0,0,0,1,3,0,0,1,6,0,0
TK0162,TS559_Genomic_Sequence.seq,134080,134517,-,438,0,0,0,1,0,0,0,0,2,0,0
TK0163,TS559_Genomic_Sequence.seq,134514,135290,-,777,0,0,2,1,2,0,0,0,5,0,0
TK0164,TS559_Genomic_Sequence.seq,135295,137016,-,1722,0,0,3,5,3,5,0,1,9,0,1
TK0165,TS559_Genomic_Sequence.seq,137013,138041,-,1029,0,0,1,3,7,0,1,2,4,0,0
TK0166,TS559_Genomic_Sequence.seq,138057,138470,-,414,0,4,6,27,34,7,3,3,98,0,3
TK0167,TS559_Genomic_Sequence.seq,138901,140508,+,1608,0,0,0,1,0,1,0,0,0,0,0
TK0168,TS559_Genomic_Sequence.seq,140614,140847,+,234,0,0,0,0,0,0,0,0,0,0,0
TK0169,TS559_Genomic_Sequence.seq,140844,141392,+,549,0,0,0,1,2,0,0,0,2,0,0
TK0170,TS559_Genomic_Sequence.seq,141389,142234,-,846,0,0,1,3,1,0,1,0,7,0,0
TK0171,TS559_Genomic_Sequence.seq,142268,143329,-,1062,0,0,2,1,2,0,0,1,6,0,0
TK0172,TS559_Genomic_Sequence.seq,143292,144452,-,1161,0,0,0,4,4,0,0,0,6,0,0
TK0173,TS559_Genomic_Sequence.seq,144460,144762,-,303,0,0,1,1,4,0,0,0,1,1,0
TK0174,TS559_Genomic_Sequence.seq,144870,145487,+,618,0,1,3,2,14,2,1,1,1,0,0
TK0175,TS559_Genomic_Sequence.seq,145543,146139,-,597,0,0,1,1,5,0,0,0,0,0,0
TK0176,TS559_Genomic_Sequence.seq,146166,146498,-,333,1,0,0,0,1,0,0,0,1,0,0
TK0177,TS559_Genomic_Sequence.seq,146486,146707,-,222,0,0,0,1,1,0,0,0,0,0,0
TK0178,TS559_Genomic_Sequence.seq,146743,148728,-,1986,0,0,1,1,1,0,0,0,2,0,1
TK0179,TS559_Genomic_Sequence.seq,148829,149233,-,405,0,0,1,6,6,2,1,1,31,0,0
TK0180,TS559_Genomic_Sequence.seq,149235,150401,-,1167,4,1,3,12,6,3,4,1,49,0,0
TK0181,TS559_Genomic_Sequence.seq,150412,151464,-,1053,0,1,2,6,10,1,5,0,22,0,0
TK0182,TS559_Genomic_Sequence.seq,151612,152280,+,669,1,1,2,9,8,0,2,2,0,0,0
TK0183,TS559_Genomic_Sequence.seq,152338,153018,-,681,1,1,7,12,9,4,7,2,9,1,0
TK0184,TS559_Genomic_Sequence.seq,153024,154286,-,1263,1,0,3,10,10,3,0,3,8,0,1
TK0185,TS559_Genomic_Sequence.seq,154381,155349,-,969,1,0,0,7,5,0,0,1,2,0,0
TK0186,TS559_Genomic_Sequence.seq,155593,156846,+,1254,7,0,24,39,41,8,5,1,25,0,0
TK0187,TS559_Genomic_Sequence.seq,156914,157765,+,852,1,0,2,10,10,0,2,0,13,0,0
TK0188,TS559_Genomic_Sequence.seq,157695,158534,-,840,0,0,1,1,2,1,0,1,1,0,0
TK0189,TS559_Genomic_Sequence.seq,158591,159001,+,411,0,1,3,4,4,0,4,0,2,0,0
TK0190,TS559_Genomic_Sequence.seq,159054,159620,-,567,0,0,2,3,4,2,1,1,1,0,0
TK0191,TS559_Genomic_Sequence.seq,159617,160066,-,450,0,0,0,0,1,0,1,0,1,0,0
TK0192,TS559_Genomic_Sequence.seq,160063,160281,-,219,0,0,1,1,8,0,0,0,0,0,0
TK0193,TS559_Genomic_Sequence.seq,160324,161247,-,924,0,0,0,5,4,0,0,0,7,0,1
TK0194,TS559_Genomic_Sequence.seq,161332,162792,-,1461,1,5,6,28,11,5,5,11,14,3,1
TK0195,TS559_Genomic_Sequence.seq,162899,163942,+,1044,3,4,7,19,11,2,1,1,9,0,0
TK0196,TS559_Genomic_Sequence.seq,163935,164930,-,996,0,1,1,3,1,0,0,0,1,0,0
TK0197,TS559_Genomic_Sequence.seq,164927,167068,-,2142,0,1,1,11,1,0,2,2,5,1,0
TK0198,TS559_Genomic_Sequence.seq,167158,167679,-,522,0,0,0,0,0,0,0,0,1,0,0
TK0199,TS559_Genomic_Sequence.seq,167676,168401,-,726,0,0,1,0,0,0,0,0,1,0,0
TK0200,TS559_Genomic_Sequence.seq,168418,169914,-,1497,0,0,0,9,6,2,1,0,9,0,0
TK0201,TS559_Genomic_Sequence.seq,169994,170665,-,672,0,0,0,1,1,0,0,0,0,0,0
TK0202,TS559_Genomic_Sequence.seq,170667,170909,-,243,0,0,0,5,0,0,0,0,0,0,0
TK0203,TS559_Genomic_Sequence.seq,170920,172062,-,1143,0,0,1,4,0,0,0,0,0,0,0
TK0204,TS559_Genomic_Sequence.seq,172064,173359,-,1296,0,1,1,4,1,0,2,1,0,0,0
TK0205,TS559_Genomic_Sequence.seq,173473,174138,+,666,0,0,4,4,9,0,1,0,2,0,0
TK0206,TS559_Genomic_Sequence.seq,174131,174886,+,756,0,0,3,7,3,1,1,1,1,1,0
TK0207,TS559_Genomic_Sequence.seq,175277,176566,-,1290,0,0,0,17,0,0,0,0,0,0,0
TK0208,TS559_Genomic_Sequence.seq,176684,177688,+,1005,0,0,1,2,0,0,0,0,0,0,0
TK0209,TS559_Genomic_Sequence.seq,177721,177885,+,165,0,0,0,0,0,0,0,0,0,0,0
TK0210,TS559_Genomic_Sequence.seq,177857,178564,-,708,0,0,0,6,0,0,0,0,0,0,0
TK0211,TS559_Genomic_Sequence.seq,178741,180090,+,1350,0,1,0,10,1,0,3,0,2,0,0
TK0212,TS559_Genomic_Sequence.seq,180080,180568,-,489,0,0,1,2,6,0,1,0,4,0,0
TK0213,TS559_Genomic_Sequence.seq,180565,180825,-,261,0,0,0,0,0,0,0,0,1,0,0
TK0214,TS559_Genomic_Sequence.seq,180882,182861,-,1980,0,0,1,3,1,0,0,0,0,0,0
TK0215,TS559_Genomic_Sequence.seq,182973,184703,-,1731,0,0,0,0,0,0,0,0,0,0,0
TK0216,TS559_Genomic_Sequence.seq,184899,185492,-,594,0,0,2,2,13,0,4,0,5,0,0
TK0217,TS559_Genomic_Sequence.seq,185525,186532,-,1008,2,2,7,12,18,0,5,2,7,2,1
TK0218,TS559_Genomic_Sequence.seq,186648,187481,-,834,0,0,1,0,2,0,0,0,0,0,0
TK0219,TS559_Genomic_Sequence.seq,187611,188852,+,1242,1,2,4,22,8,1,4,3,7,1,0
TK0220,TS559_Genomic_Sequence.seq,188849,189325,+,477,0,0,0,2,0,0,0,0,0,0,0
TK0221,TS559_Genomic_Sequence.seq,189402,189815,+,414,0,0,0,1,2,0,0,0,0,0,0
TK0222,TS559_Genomic_Sequence.seq,189790,190158,+,369,0,0,0,0,2,0,0,0,1,0,0
TK0223,TS559_Genomic_Sequence.seq,190167,191336,-,1170,0,0,0,0,0,0,0,0,2,0,0
TK0224,TS559_Genomic_Sequence.seq,191423,192046,+,624,0,0,0,0,2,0,0,0,1,0,0
TK0225,TS559_Genomic_Sequence.seq,192072,192518,+,447,0,0,1,9,10,1,2,0,5,0,0
TK0226,TS559_Genomic_Sequence.seq,192529,193023,+,495,0,0,3,3,5,0,0,0,2,0,0
TK0227,TS559_Genomic_Sequence.seq,193020,193241,+,222,0,0,1,0,0,0,0,0,0,0,0
TK0228,TS559_Genomic_Sequence.seq,193238,193570,-,333,0,0,0,0,0,0,0,0,0,0,0
TK0229,TS559_Genomic_Sequence.seq,193689,193895,-,207,0,0,0,0,0,0,0,0,0,0,0
TK0230,TS559_Genomic_Sequence.seq,194067,194942,+,876,0,0,1,0,5,0,0,0,2,0,0
TK0231,TS559_Genomic_Sequence.seq,194932,195648,+,717,0,0,0,0,0,0,0,1,1,0,0
TK0232,TS559_Genomic_Sequence.seq,195675,196496,-,822,0,0,1,1,1,0,0,0,2,0,0
TK0233,TS559_Genomic_Sequence.seq,196569,197150,-,582,0,0,0,0,0,1,0,0,1,0,0
TK0234,TS559_Genomic_Sequence.seq,197284,197904,+,621,2,0,0,1,0,0,0,0,0,0,0
TK0235,TS559_Genomic_Sequence.seq,198032,199243,-,1212,0,0,0,0,1,1,0,0,1,0,0
TK0236,TS559_Genomic_Sequence.seq,199285,200223,-,939,0,0,1,0,3,0,2,0,5,1,3
TK0237,TS559_Genomic_Sequence.seq,200297,200635,+,339,0,0,0,2,0,0,0,0,2,0,0
TK0238,TS559_Genomic_Sequence.seq,200604,201275,+,672,0,0,0,0,3,1,0,0,2,0,0
TK0239,TS559_Genomic_Sequence.seq,201310,201639,+,330,1,0,4,2,3,1,0,0,2,0,0
TK0240,TS559_Genomic_Sequence.seq,201640,202461,+,822,4,0,6,9,10,2,3,1,11,0,0
TK0241,TS559_Genomic_Sequence.seq,202466,202909,+,444,0,0,1,5,7,0,0,3,4,0,0
TK0242,TS559_Genomic_Sequence.seq,203131,204012,+,882,0,0,0,1,0,0,0,0,2,0,0
TK0243,TS559_Genomic_Sequence.seq,204009,204620,+,612,0,0,0,0,0,0,0,0,0,0,0
TK0244,TS559_Genomic_Sequence.seq,204607,205737,+,1131,0,0,0,2,1,0,1,0,0,0,0
